,catagory,sub_cata_1,sub_cata_2,product,price,review,review_num
161,Women's Clothes,Shorts,,"Base Pace High-Rise Short 8"" Online Only",64.0,3.7,193
162,Women's Clothes,Pants,Joggers,Ready to Rulu Classic-Fit High-Rise Jogger 7/8 Length,118.0,4.3,89
163,Women's Clothes,Coats & Jackets,,Wunder Puff Jacket,298.0,4.4,589
164,Women's Clothes,Underwear,,InvisiWear Mid-Rise Bikini Underwear,18.0,2.1,71
165,Women's Clothes,Coats & Jackets,,Always Effortless Jacket,158.0,4.4,65
166,Women's Clothes,Pants,Leggings,"Base Pace High-Rise Crop 23""",88.0,4.0,474
167,Women's Clothes,Shirts,Long Sleeve Shirts,Abrasion-Resistant Training Long-Sleeve Shirt,78.0,4.3,53
168,Women's Clothes,Hoodies & Sweatshirts,,Perfectly Oversized Cropped Crew French Terry,98.0,4.1,59
169,Women's Clothes,Shorts,,"Fast and Free Reflective High-Rise Classic-Fit Short 3""",78.0,,0
170,Women's Clothes,Shirts,T-Shirts,Team Canada Maple Leaf Love Crew T-Shirt COC Logo Online Only,48.0,4.6,97
171,Women's Clothes,Coats & Jackets,,Pack It Down Jacket Online Only,198.0,3.7,553
172,Women's Clothes,Pants,Sweatpants,lululemon Align™ High-Rise Cropped Jogger,108.0,4.1,1148
173,Women's Clothes,Shirts,,Sculpt Tank Top,64.0,4.3,1411
174,Women's Clothes,Underwear,,InvisiWear Mid-Rise Thong Underwear,18.0,2.5,81
175,Women's Clothes,Pants,Leggings,"lululemon Align™ High-Rise Pant 31""",98.0,3.8,1117
176,Women's Clothes,Underwear,,UnderEase Mid-Rise Bikini Underwear Online Only,18.0,3.4,42
177,Women's Clothes,Pants,Leggings,"lululemon Align™ High-Rise Mini Flared Pant 28""",128.0,4.1,31
178,Women's Clothes,Hoodies & Sweatshirts,,Perfectly Oversized Crew,108.0,3.5,2065
179,Women's Clothes,Pants,Leggings,"Fast and Free High-Rise Crop 23""",128.0,,0
180,Women's Clothes,Pants,Joggers,Stretch High-Rise Jogger Full Length,128.0,4.2,419
181,Women's Clothes,Coats & Jackets,,Rain Rebel Jacket,228.0,4.0,420
182,Women's Clothes,Pants,Leggings,"Groove Super-High-Rise Crop 23"" Nulu Online Only",128.0,4.1,84
183,Women's Clothes,Coats & Jackets,,Non-Stop Bomber Jacket Textured Online Only,168.0,4.2,166
184,Women's Clothes,Pants,Leggings,"Fast and Free High-Rise Crop 19""",128.0,4.0,784
185,Women's Clothes,Sweaters,,Rest Less Pullover Online Only,108.0,4.1,650
