Women's Clothes,Sports Bras,NA,"Like a Cloud Bra Light Support, B/C Cup",$64 CAD,NA,NA
Women's Clothes,Shorts,NA,"lululemon Align™ High-Rise Short 8"" Online Only",$64 CAD,4.2,Based on 1276 Reviews
Women's Clothes,Shorts,NA,"Speed Up High-Rise Lined Short 2.5""",$58 - $78 CAD,4.5,Based on 382 Reviews
Women's Clothes,Pants,Leggings,"Fast and Free High-Rise Tight 25""",$138 CAD,3.7,Based on 4469 Reviews
Women's Clothes,Pants,Leggings,"lululemon Align™ High-Rise Pant with Pockets 25""",$128 - $148 CAD,3.9,Based on 1872 Reviews
Women's Clothes,Shirts,T-Shirts,Love Crewneck T-Shirt,$48 - $58 CAD,3.8,Based on 573 Reviews
Women's Clothes,Shorts,NA,"Track That Mid-Rise Lined Short 5""",$68 CAD,4.4,Based on 2593 Reviews
Women's Clothes,Shirts,Short Sleeve Shirts,Classic-Fit Cotton-Blend T-Shirt,$58 CAD,4.3,Based on 278 Reviews
Women's Clothes,Shirts,Tank Tops,Love Tank Top,$38 CAD,4.1,Based on 620 Reviews
Women's Clothes,Shirts,NA,All Yours Cotton Long-Sleeve Shirt,$68 CAD,4.5,Based on 228 Reviews
Women's Clothes,Sports Bras,NA,"lululemon Energy Bra Medium Support, B–D Cups",$54 CAD,3.9,Based on 922 Reviews
Women's Clothes,Pants,Leggings,"Wunder Train High-Rise Tight 28""",$98 CAD,4.1,Based on 1349 Reviews
Women's Clothes,Pants,Leggings,"Wunder Train High-Rise Tight with Pockets 25""",$138 CAD,4.2,Based on 260 Reviews
Women's Clothes,Sports Bras,NA,"Flow Y Nulu Bra Light Support, A–C Cups",$52 CAD,3.7,Based on 1806 Reviews
Women's Clothes,Sports Bras,NA,"Free to Be Bra - Wild Light Support, A/B Cup",$52 CAD,4.1,Based on 466 Reviews
Women's Clothes,Shirts,Short Sleeve Shirts,All Yours Cotton T-Shirt,$58 CAD,4.0,Based on 458 Reviews
Women's Clothes,Hoodies & Sweatshirts,NA,It's Rulu Run Cropped Half Zip,$108 CAD,4.1,Based on 223 Reviews
Women's Clothes,Shirts,Tank Tops,Ebb to Street Cropped Racerback Tank Top,$68 CAD,3.7,Based on 544 Reviews
Women's Clothes,Shirts,T-Shirts,Swiftly Tech Short-Sleeve Shirt 2.0,$68 CAD,4.4,Based on 2243 Reviews
Women's Clothes,Shorts,NA,"Wunder Train High-Rise Short 6""",$64 CAD,4.0,Based on 1646 Reviews
Women's Clothes,Shirts,T-Shirts,High-Neck Running and Training T-Shirt,$58 CAD,3.9,Based on 460 Reviews
Women's Clothes,Pants,Leggings,"lululemon Align™ High-Rise Crop 21""",$88 - $108 CAD,NA,NA
Women's Clothes,Sports Bras,NA,"Like a Cloud Ribbed Longline Bra Light Support, B/C Cup",$74 CAD,4.6,Based on 45 Reviews
Women's Clothes,Shirts,NA,Classic-Fit Cotton-Blend Long-Sleeve Shirt,$68 CAD,4.3,Based on 127 Reviews
Women's Clothes,Shirts,Long Sleeve Shirts,It's Rulu Run Long-Sleeve Shirt,$98 CAD,4.2,Based on 346 Reviews
Women's Clothes,Shirts,Tank Tops,Train to Be Tank Top,$58 CAD,NA,NA
Women's Clothes,Shorts,NA,"Track That High-Rise Lined Short 5"" Online Only",$68 CAD,4.4,Based on 86 Reviews
Shoes,NA,NA,Chargefeel Low Women's Workout Shoe,$178 CAD,4.5,Based on 864 Reviews
Women's Clothes,Sports Bras,NA,"lululemon Align™ Ribbed Bra Light Support, A/B Cup",$58 CAD,NA,NA
Women's Clothes,Pants,Leggings,"lululemon Align™ High-Rise Pant with Pockets 28"" Online Only",$138 CAD,4.2,Based on 370 Reviews
Women's Clothes,Shirts,Tank Tops,All Yours Tank Top Online Only,$44 CAD,3.7,Based on 205 Reviews
Women's Clothes,Shirts,Long Sleeve Shirts,Swiftly Tech Long-Sleeve Shirt 2.0,$78 CAD,4.1,Based on 1952 Reviews
Women's Clothes,Pants,Leggings,"Swift Speed High-Rise Tight 28""",$138 - $148 CAD,4.0,Based on 1018 Reviews
Shoes,NA,NA,Strongfeel Women's Training Shoe,$168 CAD,4.4,Based on 202 Reviews
Women's Clothes,Shorts,NA,"Wunder Train High-Rise Short 8"" Online Only",$64 CAD,3.9,Based on 503 Reviews
Women's Clothes,Pants,Leggings,"Base Pace High-Rise Tight 25""",$98 CAD,4.0,Based on 1136 Reviews
Women's Clothes,Shorts,NA,"lululemon Align™ High-Rise Short 4"" Online Only",$64 CAD,4.2,Based on 1179 Reviews
Women's Clothes,Shirts,Long Sleeve Shirts,Swiftly Relaxed Long-Sleeve Shirt,$78 CAD,4.4,Based on 931 Reviews
Women's Clothes,Skirts,NA,Court Rival High-Rise Skirt,$88 CAD,3.8,Based on 551 Reviews
Women's Clothes,Pants,NA,Smooth Fit Pull-On High-Rise Pants,$158 CAD,3.6,Based on 13 Reviews
Women's Clothes,Shirts,Tank Tops,Classic-Fit Cotton-Blend Tank Top,$48 CAD,4.2,Based on 87 Reviews
Women's Clothes,Shorts,NA,"Tracker Low-Rise Lined Short 4""",$58 - $68 CAD,4.1,Based on 2337 Reviews
Women's Clothes,Shirts,Tank Tops,Ebb to Street Tank Top,$68 CAD,4.2,Based on 1140 Reviews
Women's Clothes,Skirts,NA,Court Rival High-Rise Skirt Long,$88 - $94 CAD,4.3,Based on 397 Reviews
Women's Clothes,Underwear,NA,UnderEase Mid-Rise Bikini Underwear 5 Pack,$74 CAD,4.0,Based on 58 Reviews
Women's Clothes,Shirts,T-Shirts,Quick-Dry Short-Sleeve Polo Shirt,$78 CAD,4.5,Based on 137 Reviews
Women's Clothes,Pants,Sweatpants,Scuba High-Rise French Terry Jogger Full Length,$128 CAD,4.1,Based on 147 Reviews
Women's Clothes,Shirts,Long Sleeve Shirts,High-Neck Running and Training Long-Sleeve Shirt,$68 CAD,3.9,Based on 182 Reviews
Women's Clothes,Sports Bras,NA,"lululemon Energy Bra High Support, B–DDD Cups",$64 CAD,3.7,Based on 819 Reviews
Women's Clothes,Sports Bras,NA,"Run Times Bra High Support, B–G Cups",$74 CAD,4.1,Based on 1541 Reviews
Women's Clothes,Shirts,T-Shirts,Ebb to Street Short-Sleeve Shirt,$78 CAD,4.0,Based on 53 Reviews
Women's Clothes,Underwear,NA,UnderEase Mid-Rise Thong Underwear,$18 CAD,3.9,Based on 63 Reviews
Women's Clothes,Shirts,Tank Tops,Quick-Dry Sleeveless Polo Shirt,$68 CAD,4.0,Based on 70 Reviews
